cme_id,cme_date,cme_pa,cme_width,harpnum,LONDTMIN,LONDTMAX,LATDTMIN,LATDTMAX,flare_id,dimming_id,verification_score
20120820070005071,2012-08-20 07:00:05,71.0,41.0,1946,-71.198303,-50.0877,12.8293,25.637699,4510.0,,4.0
20160224140004128,2016-02-24 14:00:04,128.0,45.0,6383,-70.237297,-43.583302,-12.4847,-2.8112,11960.0,,4.0
20160227054804091,2016-02-27 05:48:04,91.0,129.0,6383,-34.155201,-7.5012,-12.4847,-2.8112,11972.0,,4.0
20171021000005098,2017-10-21 00:00:05,98.0,109.0,7169,-90.0,-81.278297,-20.100599,-6.3628,14021.0,,2.0
20140401190005256,2014-04-01 19:00:05,256.0,177.0,3912,-9.2009,19.1441,-18.3953,-9.068,,7700.0,5.0
20140406093605302,2014-04-06 09:36:05,302.0,182.0,3912,52.960999,81.306,-18.3953,-9.068,8020.0,,4.0
20130425084806070,2013-04-25 08:48:06,70.0,209.0,2685,-63.9175,-41.676102,16.990999,29.5854,,6981.0,5.0
20170401201205297,2017-04-01 20:12:05,297.0,66.0,6972,38.333698,66.200104,9.1254,18.638,13203.0,,4.0
20170401221205308,2017-04-01 22:12:05,308.0,115.0,6972,39.458801,67.325302,9.1254,18.638,13204.0,8992.0,1.0
20170402192405290,2017-04-02 19:24:05,290.0,88.0,6972,51.385502,79.251999,9.1254,18.638,13216.0,,2.0
20170403013605291,2017-04-03 01:36:05,291.0,46.0,6972,54.873501,82.739998,9.1254,18.638,13219.0,,2.0
20170403144805285,2017-04-03 14:48:05,285.0,80.0,6972,62.299599,90.0,9.1254,18.638,13229.0,,2.0
20170404123605287,2017-04-04 12:36:05,287.0,72.0,6972,74.563797,90.0,9.1254,18.638,13241.0,,4.0
20170404174150286,2017-04-04 17:41:50,286.0,64.0,6972,77.376701,90.0,9.1254,18.638,13245.0,,4.0
20140909000626999,2014-09-09 00:06:26,,360.0,4536,-37.400101,-20.4701,7.2375,23.199301,,7158.0,5.0
20140910180005999,2014-09-10 18:00:05,,360.0,4536,-13.9505,2.9794,7.2375,23.199301,8901.0,7179.0,1.0
20121217173605336,2012-12-17 17:36:05,336.0,114.0,2291,61.105801,88.675598,13.8423,23.8958,,6228.0,5.0
20150801211209055,2015-08-01 21:12:09,55.0,18.0,5831,-58.847599,-37.445,8.1759,20.8958,10771.0,,4.0
20150807190004321,2015-08-07 19:00:04,321.0,112.0,5831,20.779499,42.182098,8.1759,20.8958,10798.0,,4.0
20111224084806073,2011-12-24 08:48:06,73.0,123.0,1237,-90.0,-61.8465,-22.651899,-13.235,3033.0,,2.0
20111226171205090,2011-12-26 17:12:05,90.0,34.0,1237,-60.126301,-30.354799,-22.651899,-13.235,,5242.0,5.0
20111227031210119,2011-12-27 03:12:10,119.0,46.0,1237,-54.542599,-24.771099,-22.651899,-13.235,,5245.0,5.0
20111227043606051,2011-12-27 04:36:06,51.0,209.0,1237,-53.760899,-23.989401,-22.651899,-13.235,3047.0,5246.0,1.0
20120104114805249,2012-01-04 11:48:05,249.0,14.0,1237,57.465099,87.236702,-22.651899,-13.235,3123.0,5265.0,3.0
20130902161205267,2013-09-02 16:12:05,267.0,92.0,3119,32.495399,55.172901,6.0111,18.0539,,7041.0,5.0
20130717220006074,2013-07-17 22:00:06,74.0,59.0,2968,-54.0942,-28.6665,15.6719,26.9785,6398.0,,4.0
20130725022405336,2013-07-25 02:24:05,336.0,71.0,2968,41.6558,67.083397,15.6719,26.9785,6420.0,,4.0
20110725181205999,2011-07-25 18:12:05,,360.0,746,-75.444702,-49.877102,13.9255,25.1194,2071.0,,4.0
20110727062406063,2011-07-27 06:24:06,63.0,66.0,746,-55.2789,-29.7113,13.9255,25.1194,,4679.0,5.0
20151105004804100,2015-11-05 00:48:04,100.0,44.0,6075,-88.775902,-62.611698,0.6253,11.0368,11418.0,,4.0
20151111152404328,2015-11-11 15:24:04,328.0,162.0,6075,1.017,27.1812,0.6253,11.0368,,8771.0,5.0
20111014091210040,2011-10-14 09:12:10,40.0,208.0,927,30.382999,56.219299,17.5553,28.9998,2641.0,,4.0
20110308041205091,2011-03-08 04:12:05,91.0,260.0,415,-84.368698,-57.951599,-26.4849,-15.4568,1409.0,,2.0
